SampleID,metaphlanReads
1000801248,5121
1000801318,2415
1000801368,3862
1001301158,122129
1001301248,341268
1001301318,14121
1001801138,60851
1001801248,58991
1001801318,15844
1002701138,135880
1002701158,75062
1002701278,2983
1003101118,205932
1003101188,42013
1003101278,24192
1004001168,43244
1004001278,17851
1004001348,29352
1005601098,123871
1005601168,324837
1005601348,106339
1050801308,197
1050801318,63
1050835178,768
1050835218,27
1060435158,3
1060435318,133
1060435348,142
1060801198,7
1060801338,18
1060835148,16
1061235118,221
1061235188,4082
1061235278,258
1061635088,322764
1061635208,260469
1061635368,113511
1062101108,73848
1062101238,13794
1062101338,10028
1062301128,62
1062301198,139
1062335178,40
1062601228,1604
1062601258,167
1062601368,771
1062701128,97079
1062701298,23168
1062735148,169934
1062735198,172165
1062901138,85149
1062901218,94960
1062901318,36621
1900401198,82814
1900401288,93326
1900401398,55163
1902401118,51415
1902401208,56795
1902401308,73098
2050501168,2337
2050501298,4707
2050501348,3528
4002101198,272888
4002101298,66295
4002135018,351596
4003235018,114364
4003235288,53705
4003235368,170485
4004235208,64358
4004235248,274305
4004235268,37403
4004735328,22809
4004735368,13304
4004935158,63606
4004935268,127685
4004935338,118857
4005935278,177140
4005935328,13571
4005935358,171
4006635198,496544
4006635258,358842
4006635278,568925
4006635338,353
4006935208,295796
4006935248,301705
4006935358,148188
4007135108,108763
4007135118,260805
4007135148,280839
4007135288,49132
4007235168,13433
4007235278,201761
4007435168,339434
4007435248,343145
4007435258,2336
4007535198,5309
4007535238,20
4007535358,297332
4008435158,298662
4008435348,3490
4008435358,34
4009035168,376904
4009035268,999449
4009035368,295249
4009835178,179713
4009835228,65647
4009835268,62554
