SampleID,gardReads
1000801248,14089
1000801318,6255
1000801368,10435
1001301158,625310
1001301248,832365
1001301318,27030
1001801138,154720
1001801248,152135
1001801318,40614
1002701138,321317
1002701158,179597
1002701278,5723
1003101118,318103
1003101188,80924
1003101278,47521
1004001168,108827
1004001278,44093
1004001348,76220
1005601098,236237
1005601168,613237
1005601348,204106
1050801308,543
1050801318,4
1050835178,960
1050835218,9
1060435158,22
1060435318,195
1060435348,175
1060801198,1
1060801338,7
1060835148,5
1061235118,375
1061235188,7889
1061235278,479
1061635088,774547
1061635208,585078
1061635368,257792
1062101108,142099
1062101238,25815
1062101338,19484
1062301198,13
1062335178,7
1062601228,2929
1062601258,323
1062601368,1453
1062701128,144675
1062701298,57257
1062735148,177037
1062735198,241150
1062901138,214534
1062901218,221253
1062901318,92769
1900401198,171016
1900401288,818077
1900401398,436635
1902401118,128184
1902401208,145339
1902401308,184173
2050501168,3698
2050501298,12183
2050501348,8292
4002101198,656364
4002101298,72779
4002135018,561356
4003235018,267359
4003235288,171448
4003235368,422240
4004235208,196000
4004235248,616100
4004235268,116742
4004735328,51678
4004735368,33485
4004935158,45386
4004935268,197211
4004935338,162567
4005935278,284702
4005935328,32096
4005935358,238
4006635198,1016268
4006635258,598837
4006635278,843084
4006635338,702
4006935208,317146
4006935248,581754
4006935358,329735
4007135108,311940
4007135118,738498
4007135148,679777
4007135288,120486
4007235168,24648
4007235278,384504
4007435168,849653
4007435248,755520
4007435258,5435
4007535198,9934
4007535238,3
4007535358,411392
4008435158,642525
4008435348,7856
4008435358,24
4009035168,956016
4009035268,1696764
4009035368,511040
4009835178,394968
4009835228,126641
4009835268,116373
