SampleID	krakenHuAbundance	krakenHuReads
1000801248	0.98964	14360823
1000801318	0.99064	12173497
1000801368	0.98923	12205905
1001301158	0.85579	9940574
1001301248	0.78078	14819310
1001301318	0.98873	13229662
1001801138	0.63242	8151814
1001801248	0.91284	14914751
1001801318	0.96626	10758413
1002701138	0.87025	10448888
1002701158	0.92266	10093831
1002701278	0.99392	16865617
1003101118	0.8598	11580698
1003101188	0.97428	15954840
1003101278	0.98251	13951150
1004001168	0.95016	15147322
1004001278	0.95131	13031062
1004001348	0.91732	14280201
1005601098	0.71666	11595919
1005601168	0.6863	10767676
1005601348	0.01751	156802
1050801308	0.94122	12228465
1050801318	0.97336	12656221
1050835178	0.97268	12187043
1050835218	0.96298	14558688
1060435158	0.98275	16178610
1060435318	0.98119	13825430
1060435348	0.96293	12904479
1060801198	0.98723	10472445
1060801338	0.992	10864429
1060835148	0.98483	17078740
1061235118	0.82466	4522755
1061235188	0.95083	4115807
1061235278	0.97753	4998263
1061635088	0.38696	2583309
1061635208	0.57387	4174334
1061635368	0.69765	3342791
1062101108	0.94945	13795076
1062101238	0.98967	14439394
1062101338	0.99198	12975229
1062301128	0.99155	11964078
1062301198	0.97727	11549870
1062335178	0.99842	12716132
1062601228	0.99815	16461456
1062601258	0.99956	10861156
1062601368	0.98763	12626776
1062701128	0.92078	15375061
1062701298	0.95636	12093989
1062735148	0.80147	7598405
1062735198	0.8966	15970059
1062901138	0.91225	11225522
1062901218	0.90283	10873707
1062901318	0.96438	13749163
1900401198	0.80714	9006777
1900401288	0.8319	8789152
1900401398	0.88725	10033431
1902401118	0.9371	12396865
1902401208	0.94817	13932420
1902401308	0.91893	11614203
2050501168	0.99009	13935986
2050501298	0.96928	12516791
2050501348	0.98214	12771707
4002101198	0.71833	8532930
4002101298	0.91189	10383081
4002135018	0.7908	10599131
4003235018	0.93436	23706786
4003235288	0.96071	11098650
4003235368	0.84373	10039862
4004235208	0.92482	11860915
4004235248	0.76897	8992568
4004235268	0.96955	13541419
4004735328	0.95288	9964973
4004735368	0.98895	17489946
4004935158	0.9461	11692056
4004935268	0.86836	8796027
4004935338	0.87138	8924220
4005935278	0.81231	7739620
4005935328	0.96434	10803509
4005935358	0.9757	16239596
4006635198	0.23237	1413699
4006635258	0.68989	6905795
4006635278	0.22952	1480325
4006635338	0.99837	5820039
4006935208	0.77183	10275829
4006935248	0.88661	17323769
4006935358	0.86779	9212441
4007135108	0.90248	9817877
4007135118	0.73787	7658512
4007135148	0.7196	7520413
4007135288	0.94715	10471964
4007235168	0.97914	6806094
4007235278	0.63727	3456338
4007435168	0.65256	7644211
4007435248	0.7165	8089528
4007435258	0.99808	14778743
4007535198	0.99628	17124843
4007535238	0.9984	13307633
4007535358	0.76608	9550996
4008435348	0.99399	12854871
4008435158	0.64646	6184986
4008435358	0.9937	16343820
4009035168	0.62643	7612843
4009035268	0.53532	10865896
4009035368	0.7454	8644194
4009835178	0.2641	2264428
4009835228	0.83258	7232689
4009835268	0.77643	8314761
